TIME, N1_UZ, N1_AZ, N7_UZ, N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03, 3.420235016E-12, 6.840300718E-06, -6.640988433E-20, -1.328164811E-13,0.015,0.0,45000.0,0.0
2.E-03, 6.601843715E-12, -7.316867651E-06, -5.17658474E-19, -6.368549633E-13,0.03,0.0,45000.0,0.0
3.E-03, 5.024731949E-12, -2.201722441E-06, 9.399444629E-18, 2.137299523E-11,0.045,0.0,45000.0,0.0
4.E-03, 2.669167743E-11, 4.868983026E-05, 1.882308558E-16, 3.164494138E-10,0.06,0.0,45000.0,0.0
5.E-03, 1.872717827E-10, 2.291332891E-04, 1.517143319E-15, 1.98368481E-09,0.075,0.0,45000.0,0.0
6.E-03, 5.96616575E-10, 2.684027162E-04, 7.073884326E-15, 6.471929779E-09,0.09,0.0,45000.0,0.0
7.E-03, 9.168194181E-10, -4.466744427E-04, 1.957417506E-14, 7.415299086E-09,0.105,0.0,45000.0,0.0
8.E-03, 5.525896997E-10, -9.222085403E-04, 2.288472052E-14, -2.579407113E-08,0.12,0.0,45000.0,0.0
9.E-03, 2.37582521E-09, 5.296990794E-03, -5.126980483E-14, -1.291350389E-07,0.13499999999999998,0.0,45000.0,0.0
1.E-02, 1.824343487E-08, 2.279162368E-02, -3.025450016E-13, -2.251074975E-07,0.15,0.0,45000.0,0.0
1.1E-02, 5.307898061E-08, 1.514500197E-02, -6.82812798E-13, -3.288366558E-08,0.16499999999999998,0.0,45000.0,0.0
1.2E-02, 4.730445788E-08, -9.636330666E-02, -7.766498257E-13, 6.057399992E-07,0.18,0.0,45000.0,0.0
1.3E-02, -1.347929583E-07, -0.256283078, -1.543128511E-14, 1.104379703E-06,0.19499999999999998,0.0,45000.0,0.0
1.4E-02, -5.190463782E-07, -0.148034982, 1.518266532E-12, 4.405992262E-07,0.21,0.0,45000.0,0.0
1.5E-02, -7.923488454E-07, 0.369932678, 2.666759593E-12, -1.211004259E-06,0.22499999999999998,0.0,45000.0,0.0
1.6E-02, -4.892666864E-07, 0.782843301, 2.177431277E-12, -2.064662638E-06,0.24,0.0,45000.0,0.0
1.7E-02, 4.918302357E-07, 0.573195041, 7.452426587E-14, -1.16251455E-06,0.255,0.0,45000.0,0.0
1.8E-02, 1.794996994E-06, 7.094323174E-02, -2.491057956E-12, 2.371712195E-07,0.26999999999999996,0.0,45000.0,0.0
1.9E-02, 3.00776858E-06, -0.251736649, -4.346759193E-12, 1.182595043E-06,0.285,0.0,45000.0,0.0
2.E-02, 3.812036557E-06, -0.565267783, -4.459718772E-12, 2.302879737E-06,0.3,0.0,45000.0,0.0
2.1E-02, 3.8532821E-06, -0.960777787, -1.871812232E-12, 3.098868897E-06,0.315,0.0,45000.0,0.0
2.2E-02, 2.852900119E-06, -1.12248236, 3.196817414E-12, 1.862611547E-06,0.32999999999999996,0.0,45000.0,0.0
2.3E-02, 7.941158783E-07, -0.994324337, 8.745592279E-12, -9.023168248E-07,0.345,0.0,45000.0,0.0
2.4E-02, -2.139022549E-06, -0.75438467, 1.225631943E-11, -3.173795016E-06,0.36,0.0,45000.0,0.0
2.5E-02, -5.672051452E-06, -0.445397369, 1.200903541E-11, -4.342238546E-06,0.375,0.0,45000.0,0.0
2.6E-02, -9.435325458E-06, -1.509477464E-02, 7.561894855E-12, -4.057499489E-06,0.38999999999999996,0.0,45000.0,0.0
2.7E-02, -1.291494314E-05, 0.582405183, 3.550814759E-13, -1.461878884E-06,0.40499999999999997,0.0,45000.0,0.0
2.8E-02, -1.550508858E-05, 1.19654109, -6.284874023E-12, 2.595590531E-06,0.42,0.0,45000.0,0.0
2.9E-02, -1.671890467E-05, 1.55612215, -8.676169602E-12, 5.901751936E-06,0.435,0.0,45000.0,0.0
3.E-02, -1.636571447E-05, 1.57789435, -4.605046221E-12, 7.023117884E-06,0.44999999999999996,0.0,45000.0,0.0
3.1E-02, -1.460042725E-05, 1.24630459, 5.750919725E-12, 5.546600283E-06,0.46499999999999997,0.0,45000.0,0.0
3.2E-02, -1.192398324E-05, 0.576012563, 1.979078348E-11, 1.821218607E-06,0.48,0.0,45000.0,0.0
3.3E-02, -9.046572088E-06, -0.174079804, 3.315192484E-11, -3.178654653E-06,0.495,0.0,45000.0,0.0
