TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-3.319948515E-11,-6.639732681E-05,5.867297836E-13,1.173430522E-06,9.151678608E-14,1.830290417E-07,1.381751174E-14,2.763433945E-08,1.1809345E-15,2.361810538E-09,1.707150781E-16,3.414217051E-10,1.475746559E-17,2.951420062E-11,0.025,0.0,40000.0,0.0
2.E-03,-1.718423727E-10,-1.444907995E-04,6.187613284E-12,8.854744296E-06,1.126284762E-12,1.703444676E-06,2.176314448E-13,3.523518202E-07,2.179442286E-14,3.650256788E-08,3.750778461E-15,6.477139765E-09,3.656258834E-16,6.426939727E-10,0.05,0.0,40000.0,0.0
3.E-03,-8.623846121E-11,5.929655061E-04,2.955153543E-11,2.667121212E-05,6.258904971E-12,6.492206984E-06,1.53885623E-12,1.882446599E-06,1.83864129E-13,2.464062319E-07,3.780471723E-14,5.446970742E-08,4.209075173E-15,6.342355327E-09,0.075,0.0,40000.0,0.0
4.E-03,2.034594267E-09,3.4774575E-03,8.917492655E-11,4.584781063E-05,2.112582387E-11,1.297640019E-05,6.435964576E-12,5.269297387E-06,9.382468676E-13,9.382114686E-07,2.304896289E-13,2.627891556E-07,2.980130257E-14,3.715468951E-08,0.1,0.0,40000.0,0.0
5.E-03,1.209806421E-08,1.240770122E-02,2.140207819E-10,8.459655028E-05,5.01022275E-11,1.524266408E-05,1.775035276E-11,7.565311977E-06,3.2372212E-12,2.150967023E-06,9.431224904E-13,7.771021915E-07,1.447464895E-13,1.415499095E-07,0.125,0.0,40000.0,0.0
6.E-03,4.852962469E-08,4.032812323E-02,4.982834216E-10,2.342348299E-04,9.389534637E-11,1.439075067E-05,3.46503455E-11,3.606003256E-06,8.044396511E-12,2.86545187E-06,2.7166432E-12,1.344676649E-06,5.093712247E-13,3.578077122E-07,0.15,0.0,40000.0,0.0
7.E-03,1.482187867E-07,8.618698533E-02,1.177634886E-09,5.559407062E-04,1.543044587E-10,1.88411204E-05,5.260836886E-11,-1.49001791E-06,1.519185528E-11,1.815142131E-06,5.638728209E-12,9.524726239E-07,1.338600182E-12,5.714022444E-07,0.17500000000000002,0.0,40000.0,0.0
8.E-03,3.262297292E-07,7.045819284E-02,2.593363046E-09,9.168137869E-04,2.376738819E-10,2.707952115E-05,7.305264716E-11,6.462279221E-06,2.343899919E-11,3.842110258E-07,8.632381178E-12,-8.093230689E-07,2.679672822E-12,4.522918729E-07,0.2,0.0,40000.0,0.0
9.E-03,4.897208705E-07,-9.9495563E-02,4.83439439E-09,7.338049618E-04,3.498567272E-10,3.054742176E-05,1.063423747E-10,1.922874373E-05,3.28376882E-11,1.918822558E-06,1.057221884E-11,-1.298352423E-06,4.18835745E-12,-1.170633717E-07,0.22499999999999998,0.0,40000.0,0.0
1.E-02,4.725107496E-07,-0.261909336,6.686689221E-09,-1.511239083E-03,4.830360774E-10,1.144605E-05,1.547294434E-10,1.096633718E-05,4.586412731E-11,5.336686508E-06,1.310326847E-11,2.480714712E-06,5.427081234E-12,-4.228692737E-07,0.25,0.0,40000.0,0.0
1.1E-02,2.696512628E-07,-0.109394863,4.037602139E-09,-7.491470422E-03,5.926739143E-10,-5.852827017E-05,2.062293777E-10,-4.740812378E-06,6.395526644E-11,4.79280291E-06,1.981134367E-11,5.873406427E-06,6.667329027E-12,4.258994532E-07,0.27499999999999997,0.0,40000.0,0.0
1.2E-02,8.836246954E-08,0.152538901,-1.037501606E-08,-1.603558159E-02,5.883168315E-10,-1.694613461E-04,2.555440011E-10,3.698773799E-07,8.409523335E-11,-6.951125679E-07,2.971425964E-11,5.164230607E-07,8.916672282E-12,1.592301094E-06,0.3,0.0,40000.0,0.0
1.3E-02,-1.677469537E-08,-2.279771513E-04,-4.389816902E-08,-2.218555723E-02,3.379712818E-10,-3.225147638E-04,3.068888863E-10,3.690997633E-06,1.018735431E-10,-4.028289224E-06,3.617587998E-11,-7.399095995E-06,1.23878818E-11,8.514692128E-07,0.325,0.0,40000.0,0.0
1.4E-02,-2.813251651E-07,-0.318602048,-9.970507035E-08,-2.238201896E-02,-3.413929223E-10,-5.355218682E-04,3.608421692E-10,1.525589285E-06,1.184768866E-10,1.678218837E-06,3.767298181E-11,-2.530177423E-06,1.547762522E-11,-1.614395756E-06,0.35000000000000003,0.0,40000.0,0.0
1.5E-02,-8.141712219E-07,-0.217996149,-1.760820073E-07,-1.875806895E-02,-1.560459217E-09,-5.438880424E-04,4.260575082E-10,2.099819144E-05,1.4150406E-10,1.116948234E-05,4.203311758E-11,8.256330536E-06,1.672097011E-11,-2.078456385E-06,0.375,0.0,40000.0,0.0
1.6E-02,-1.458130872E-06,-4.226955942E-03,-2.671032282E-07,-1.053059662E-02,-2.984498214E-09,1.339312689E-04,5.081869915E-10,1.283110615E-05,1.72929968E-10,5.628318324E-06,5.343496363E-11,5.827333614E-06,1.761306701E-11,1.375917408E-06,0.4,0.0,40000.0,0.0
1.7E-02,-2.146102239E-06,-8.379321818E-02,-3.556145281E-07,1.555009263E-02,-3.498439545E-09,1.686253562E-03,5.886434011E-10,-1.617772656E-05,2.011916737E-10,-1.195674955E-05,6.671622983E-11,-2.068596758E-06,2.138549522E-11,4.384798371E-06,0.42500000000000004,0.0,40000.0,0.0
1.8E-02,-2.94067499E-06,-0.129413585,-4.044468164E-07,6.380772066E-02,-1.150606289E-09,4.037286136E-03,6.884617232E-10,5.489953794E-05,2.213158062E-10,-4.318995233E-06,7.757045867E-11,-2.785554279E-06,2.784964096E-11,9.987428858E-07,0.44999999999999996,0.0,40000.0,0.0
1.9E-02,-3.789087634E-06,2.1732884E-02,-3.701469129E-07,0.102457107,6.713685176E-09,6.995624538E-03,9.006139778E-10,1.697692169E-04,2.49516741E-10,2.047276182E-05,8.429560366E-11,-5.472489842E-06,3.195102085E-11,-5.724296086E-06,0.475,0.0,40000.0,0.0
2.E-02,-4.585499882E-06,8.227104804E-02,-2.339998161E-07,0.101237832,2.306170147E-08,9.971830317E-03,1.304430084E-09,2.135593731E-04,2.930362722E-10,1.016514108E-05,8.765251949E-11,-1.264260281E-06,3.137678745E-11,-3.627127759E-06,0.5,0.0,40000.0,0.0
