TIME, N1_UZ, N1_AZ, N7_UZ, N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03, 7.980548371E-12, 1.596070168E-05, -1.549563968E-19, -3.099051226E-13,0.035,0.0,45000.0,0.0
2.E-03, 1.5404302E-11, -1.707269119E-05, -1.207869773E-18, -1.485994914E-12,0.07,0.0,45000.0,0.0
3.E-03, 1.172437455E-11, -5.137352361E-06, 2.193203747E-17, 4.987032219E-11,0.105,0.0,45000.0,0.0
4.E-03, 6.228058067E-11, 1.136096039E-04, 4.392053302E-16, 7.383819656E-10,0.14,0.0,45000.0,0.0
5.E-03, 4.36967493E-10, 5.346443413E-04, 3.540001078E-15, 4.62859789E-09,0.17500000000000002,0.0,45000.0,0.0
6.E-03, 1.384646023E-09, 6.11354736E-04, 1.650587923E-14, 1.510146774E-08,0.21,0.0,45000.0,0.0
7.E-03, 2.103291136E-09, -1.069393596E-03, 4.567777774E-14, 1.731087474E-08,0.245,0.0,45000.0,0.0
8.E-03, 1.231293218E-09, -2.111935683E-03, 5.346224908E-14, -6.008405444E-08,0.28,0.0,45000.0,0.0
9.E-03, 5.54204642E-09, 1.247709336E-02, -1.191198357E-13, -3.006466606E-07,0.315,0.0,45000.0,0.0
1.E-02, 4.283325395E-08, 5.348349914E-02, -7.034257986E-13, -5.228039009E-07,0.35000000000000003,0.0,45000.0,0.0
1.1E-02, 1.246252801E-07, 3.551990763E-02, -1.585772127E-12, -7.329070484E-08,0.38499999999999995,0.0,45000.0,0.0
1.2E-02, 1.116162149E-07, -0.225117818, -1.80382543E-12, 1.401864968E-06,0.42,0.0,45000.0,0.0
1.3E-02, -3.123923886E-07, -0.596882696, -6.991749766E-14, 2.502078338E-06,0.45499999999999996,0.0,45000.0,0.0
1.4E-02, -1.202898677E-06, -0.336126923, 3.337590481E-12, 8.451695793E-07,0.49,0.0,45000.0,0.0
1.5E-02, -1.822080474E-06, 0.878766257, 5.662843991E-12, -3.009670988E-06,0.525,0.0,45000.0,0.0
1.6E-02, -1.103403736E-06, 1.79696762, 4.162644742E-12, -4.641296939E-06,0.56,0.0,45000.0,0.0
1.7E-02, 1.100331968E-06, 1.17317201, -6.023532069E-13, -1.888347817E-06,0.5950000000000001,0.0,45000.0,0.0
1.8E-02, 3.849253948E-06, -8.280507859E-02, -5.511724127E-12, 1.5996301E-06,0.63,0.0,45000.0,0.0
