TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-1.327979406E-11,-2.655893072E-05,2.346919134E-13,4.693722088E-07,3.660671443E-14,7.321161669E-08,5.527004694E-15,1.105373578E-08,4.723737998E-16,9.447242153E-10,6.828603122E-17,1.36568682E-10,5.902986234E-18,1.180568025E-11,0.01,0.0,40000.0,0.0
2.E-03,-6.87369491E-11,-5.77963198E-05,2.475045314E-12,3.541897718E-06,4.50513905E-13,6.813778704E-07,8.705257794E-14,1.409407281E-07,8.717769144E-15,1.460102715E-08,1.500311384E-15,2.590855906E-09,1.462503534E-16,2.570775891E-10,0.02,0.0,40000.0,0.0
3.E-03,-3.449538449E-11,2.371862024E-04,1.182061417E-11,1.066848485E-05,2.503561988E-12,2.596882794E-06,6.155424921E-13,7.529786395E-07,7.354565159E-14,9.856249276E-08,1.512188689E-14,2.178788297E-08,1.683630069E-15,2.536942131E-09,0.03,0.0,40000.0,0.0
4.E-03,8.138377067E-10,1.390983E-03,3.566997062E-11,1.833912425E-05,8.450329548E-12,5.190560075E-06,2.57438583E-12,2.107718955E-06,3.75298747E-13,3.752845875E-07,9.219585157E-14,1.051156623E-07,1.192052103E-14,1.48618758E-08,0.04,0.0,40000.0,0.0
5.E-03,4.839225683E-09,4.963080487E-03,8.560831277E-11,3.383862011E-05,2.0040891E-11,6.09706563E-06,7.100141106E-12,3.026124791E-06,1.29488848E-12,8.603868092E-07,3.772489961E-13,3.108408766E-07,5.78985958E-14,5.661996378E-08,0.05,0.0,40000.0,0.0
6.E-03,1.941184988E-08,1.613124929E-02,1.993133686E-10,9.369393196E-05,3.755813855E-11,5.756300267E-06,1.38601382E-11,1.442401302E-06,3.217758604E-12,1.146180748E-06,1.08665728E-12,5.378706597E-07,2.037484899E-13,1.431230849E-07,0.06,0.0,40000.0,0.0
7.E-03,5.928751467E-08,3.447479413E-02,4.710539545E-10,2.223762825E-04,6.172178347E-11,7.53644816E-06,2.104334754E-11,-5.96007164E-07,6.076742112E-12,7.260568524E-07,2.255491284E-12,3.809890496E-07,5.35440073E-13,2.285608977E-07,0.07,0.0,40000.0,0.0
8.E-03,1.304918917E-07,2.818327714E-02,1.037345219E-09,3.667255148E-04,9.506955276E-11,1.083180846E-05,2.922105886E-11,2.584911689E-06,9.375599677E-12,1.536844103E-07,3.452952471E-12,-3.237292276E-07,1.071869129E-12,1.809167492E-07,0.08,0.0,40000.0,0.0
9.E-03,1.958709157E-07,-3.983308931E-02,1.934145684E-09,2.942978217E-04,1.399789816E-10,1.229154828E-05,4.254223349E-11,7.70206446E-06,1.313552591E-11,7.684302569E-07,4.228952664E-12,-5.192107119E-07,1.67534861E-12,-4.681408871E-08,0.09,0.0,40000.0,0.0
1.E-02,1.88852631E-07,-0.104962476,2.678434205E-09,-5.993062202E-04,1.93649169E-10,5.230142999E-06,6.197337278E-11,4.51802178E-06,1.83538319E-11,2.148332534E-06,5.242718836E-12,9.94717951E-07,2.170970296E-12,-1.689058903E-07,0.1,0.0,40000.0,0.0
