TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-4.647927922E-11,-9.295625754E-05,8.214216971E-13,1.642802731E-06,1.281235005E-13,2.562406584E-07,1.934451643E-14,3.868807524E-08,1.653308299E-15,3.306534754E-09,2.390011093E-16,4.779903871E-10,2.066045182E-17,4.131988087E-11,0.035,0.0,40000.0,0.0
2.E-03,-2.405793218E-10,-2.022871193E-04,8.662658598E-12,1.239664201E-05,1.576798667E-12,2.384822546E-06,3.046840228E-13,4.932925483E-07,3.051219201E-14,5.110359503E-08,5.251089845E-15,9.067995671E-09,5.118762368E-16,8.997715618E-10,0.07,0.0,40000.0,0.0
3.E-03,-1.207338457E-10,8.301517086E-04,4.137214961E-11,3.733969697E-05,8.762466959E-12,9.089089778E-06,2.154398722E-12,2.635425238E-06,2.574097806E-13,3.449687247E-07,5.292660413E-14,7.625759039E-08,5.892705242E-15,8.879297458E-09,0.105,0.0,40000.0,0.0
4.E-03,2.848431973E-09,4.8684405E-03,1.248448972E-10,6.418693489E-05,2.957615342E-11,1.816696026E-05,9.010350406E-12,7.377016341E-06,1.313545615E-12,1.313496056E-06,3.226854805E-13,3.679048179E-07,4.17218236E-14,5.201656531E-08,0.14,0.0,40000.0,0.0
5.E-03,1.693728989E-08,1.737078171E-02,2.996290947E-10,1.184351704E-04,7.01431185E-11,2.133972971E-05,2.485049387E-11,1.059143677E-05,4.53210968E-12,3.011353832E-06,1.320371487E-12,1.087943068E-06,2.026450853E-13,1.981698732E-07,0.17500000000000002,0.0,40000.0,0.0
6.E-03,6.795890705E-08,5.649423664E-02,6.972088622E-10,3.271529249E-04,1.314171942E-10,2.007447135E-05,4.850520008E-11,5.037837589E-06,1.126170449E-11,4.010731385E-06,3.80323535E-12,1.882417052E-06,7.131140845E-13,5.009195371E-07,0.21,0.0,40000.0,0.0
7.E-03,2.077015514E-07,0.120947681,1.643960504E-09,7.711879835E-04,2.155007774E-10,2.554439661E-05,7.355691195E-11,-2.243929406E-06,2.125928985E-11,2.525287969E-06,7.892645219E-12,1.330703964E-06,1.873888378E-12,7.99693173E-07,0.245,0.0,40000.0,0.0
8.E-03,4.577723053E-07,9.971079334E-02,3.605486632E-09,1.258362706E-03,3.293189466E-10,3.392484752E-05,1.015062959E-10,8.038939812E-06,3.272644527E-11,4.138301581E-07,1.206780519E-11,-1.15918421E-06,3.749632948E-12,6.302568916E-07,0.28,0.0,40000.0,0.0
9.E-03,6.894782364E-07,-0.13643733,6.691548168E-09,9.907251092E-04,4.76497406E-10,3.279589759E-05,1.452008249E-10,2.345155046E-05,4.546743337E-11,2.133761909E-06,1.468260095E-11,-1.96160515E-06,5.848908714E-12,-1.831878816E-07,0.315,0.0,40000.0,0.0
1.E-02,6.736904455E-07,-0.358553509,9.218002224E-09,-2.109886609E-03,6.416078748E-10,3.068667485E-06,2.051019839E-10,8.962253603E-06,6.226098954E-11,5.971393662E-06,1.780556758E-11,2.977864479E-06,7.519200135E-12,-6.747952637E-07,0.35000000000000003,0.0,40000.0,0.0
1.1E-02,4.138261406E-07,-0.129607356,5.493618147E-09,-1.039171381E-02,7.641251118E-10,-8.825414182E-05,2.641359124E-10,-1.069711992E-05,8.421756481E-11,4.354760508E-06,2.601335767E-11,7.191881197E-06,9.03123604E-12,3.582606617E-07,0.38499999999999995,0.0,40000.0,0.0
1.2E-02,2.195558776E-07,0.260799125,-1.457355412E-08,-2.229384731E-02,7.247015252E-10,-2.356270877E-04,3.209939373E-10,6.344801513E-06,1.07162088E-10,-2.378851659E-06,3.76926914E-11,-2.486022282E-07,1.16187515E-11,1.792711615E-06,0.42,0.0,40000.0,0.0
1.3E-02,1.715830318E-07,3.180742846E-02,-6.126686252E-08,-3.095852006E-02,3.400377354E-10,-4.548519497E-04,3.878484148E-10,1.364884575E-05,1.269130636E-10,-4.008382579E-06,4.446411982E-11,-9.567349827E-06,1.550442272E-11,8.036469842E-07,0.45499999999999996,0.0,40000.0,0.0
1.4E-02,-1.334351497E-07,-0.545900955,-1.393558142E-07,-3.183286617E-02,-6.551190494E-10,-7.661331035E-04,4.577987377E-10,-7.457178936E-06,1.471931133E-10,5.066402036E-06,4.618068961E-11,-5.426828339E-07,1.878206248E-11,-2.019710635E-06,0.49,0.0,40000.0,0.0
1.5E-02,-1.008767384E-06,-0.594737443,-2.47891363E-07,-2.906032061E-02,-2.429114869E-09,-7.915529609E-04,5.279928059E-10,7.943789344E-06,1.769846941E-10,1.395679096E-05,5.388001912E-11,1.250841179E-05,2.011664649E-11,-1.86647383E-06,0.525,0.0,40000.0,0.0
1.6E-02,-2.30947784E-06,-0.256018504,-3.821639217E-07,-2.241380225E-02,-4.53188468E-09,1.339892764E-04,6.128482738E-10,2.137992136E-05,2.147672459E-10,2.025538254E-06,6.898913316E-11,2.311527334E-06,2.180538551E-11,2.574749224E-06,0.56,0.0,40000.0,0.0
1.7E-02,-3.740829366E-06,-5.261945681E-03,-5.236273119E-07,8.031651159E-03,-5.440618015E-09,2.2540695E-03,7.09969606E-10,3.151697807E-06,2.447476882E-10,-1.762994574E-05,8.066453134E-11,-9.17928977E-06,2.719283662E-11,4.822763187E-06,0.5950000000000001,0.0,40000.0,0.0
1.8E-02,-5.120257995E-06,0.109109457,-6.246930533E-07,7.276327611E-02,-2.501565678E-09,5.441489318E-03,8.507457609E-10,8.415559852E-05,2.672642227E-10,2.701325181E-06,8.909223056E-11,2.683637956E-06,3.459429202E-11,-7.946464069E-07,0.63,0.0,40000.0,0.0
1.9E-02,-6.483922504E-06,-7.757544801E-02,-6.233025076E-07,0.132149793,7.926759323E-09,9.537045808E-03,1.149709619E-09,2.322204513E-04,3.096120892E-10,3.696178313E-05,1.020820228E-10,6.440997566E-06,3.79317073E-11,-7.333517081E-06,0.665,0.0,40000.0,0.0
2.E-02,-8.075265027E-06,-0.377783423,-4.84364059E-07,0.14294673,3.01241395E-08,1.400106543E-02,1.715200371E-09,3.008346714E-04,3.75143905E-10,9.407209852E-06,1.166604376E-10,-3.263859889E-06,3.718933526E-11,-8.262988723E-07,0.7000000000000001,0.0,40000.0,0.0
2.1E-02,-1.004501172E-05,-0.379029527,-2.072844475E-07,0.133335398,6.779892946E-08,1.695379067E-02,2.619142753E-09,3.760671166E-04,4.353132053E-10,-2.013326428E-05,1.335025844E-10,7.790915527E-06,4.247304814E-11,1.287852708E-05,0.7350000000000001,0.0,40000.0,0.0
2.2E-02,-1.231535161E-05,-0.22215627,2.070502063E-07,0.141174448,1.211810889E-07,1.446104721E-02,3.918071183E-09,4.139073481E-04,4.982281509E-10,2.562369419E-05,1.591967508E-10,9.913745096E-06,5.77060563E-11,7.020490506E-06,0.7699999999999999,0.0,40000.0,0.0
2.3E-02,-1.469107997E-05,1.13768517E-02,7.482344619E-07,0.112525892,1.833893576E-07,3.191291587E-03,5.462748597E-09,7.759755926E-05,5.91565674E-10,3.522319936E-05,1.829662346E-10,-1.376308108E-05,6.963671921E-11,-1.362523353E-05,0.8049999999999999,0.0,40000.0,0.0
2.4E-02,-1.692982709E-05,0.262587629,1.345319461E-06,-7.234235087E-04,2.39578041E-07,-1.52304029E-02,6.64967403E-09,-7.930950961E-04,6.859930635E-10,-3.304324312E-05,2.004257515E-10,1.142163804E-06,7.079647453E-11,-7.917182515E-06,0.84,0.0,40000.0,0.0
2.5E-02,-1.895771081E-05,0.15914598,1.893879758E-06,-9.632737916E-02,2.699216649E-07,-3.64597048E-02,6.333269673E-09,-2.213557174E-03,7.376063674E-10,-5.258635321E-05,2.32490003E-10,2.806797194E-05,7.62595938E-11,1.652403569E-05,0.875,0.0,40000.0,0.0
