TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-5.311917625E-11,-1.062357229E-04,9.387676538E-13,1.877488835E-06,1.464268577E-13,2.928464668E-07,2.210801878E-14,4.421494313E-08,1.889495199E-15,3.778896861E-09,2.731441249E-16,5.462747281E-10,2.361194494E-17,4.7222721E-11,0.04,0.0,40000.0,0.0
2.E-03,-2.749477964E-10,-2.311852792E-04,9.900181254E-12,1.416759087E-05,1.80205562E-12,2.725511481E-06,3.482103117E-13,5.637629123E-07,3.487107658E-14,5.840410861E-08,6.001245537E-15,1.036342362E-08,5.850014134E-16,1.028310356E-09,0.08,0.0,40000.0,0.0
3.E-03,-1.379815379E-10,9.487448098E-04,4.728245669E-11,4.26739394E-05,1.001424795E-11,1.038753117E-05,2.462169968E-12,3.011914558E-06,2.941826064E-13,3.942499711E-07,6.048754758E-14,8.715153187E-08,6.734520277E-15,1.014776852E-08,0.12,0.0,40000.0,0.0
4.E-03,3.255350827E-09,5.563932E-03,1.426798825E-10,7.335649701E-05,3.380131819E-11,2.07622403E-05,1.029754332E-11,8.430875819E-06,1.501194988E-12,1.50113835E-06,3.687834063E-13,4.20462649E-07,4.768208412E-14,5.944750321E-08,0.16,0.0,40000.0,0.0
5.E-03,1.935690273E-08,1.985232195E-02,3.424332511E-10,1.353544805E-04,8.0163564E-11,2.438826252E-05,2.840056442E-11,1.210449916E-05,5.17955392E-12,3.441547237E-06,1.508995985E-12,1.243363506E-06,2.315943832E-13,2.264798551E-07,0.2,0.0,40000.0,0.0
6.E-03,7.771712945E-08,6.466445361E-02,7.957017623E-10,3.7167238E-04,1.500873914E-10,2.273488275E-05,5.541941834E-11,5.727337332E-06,1.286923191E-11,4.581118058E-06,4.346368599E-12,2.150961609E-06,8.14971439E-13,5.724472996E-07,0.24,0.0,40000.0,0.0
7.E-03,2.377567339E-07,0.138694141,1.869181752E-09,8.687474787E-04,2.451481817E-10,2.753890065E-05,8.384700854E-11,-2.909976292E-06,2.427424455E-11,2.849595686E-06,9.016319344E-12,1.514227934E-06,2.141209082E-12,9.132763145E-07,0.28,0.0,40000.0,0.0
8.E-03,5.246536162E-07,0.11502299,4.086079511E-09,1.418089804E-03,3.709276395E-10,3.389853543E-05,1.146305489E-10,7.621511453E-06,3.723159405E-11,2.55055837E-07,1.375581054E-11,-1.375123903E-06,4.28121853E-12,7.142782659E-07,0.32,0.0,40000.0,0.0
9.E-03,7.924886648E-07,-0.15314313,7.582989239E-09,1.141952859E-03,5.295762371E-10,3.183985357E-05,1.610151809E-10,2.358089547E-05,5.1191486E-11,1.749949577E-06,1.658087553E-11,-2.453795997E-06,6.65779372E-12,-2.411388125E-07,0.36,0.0,40000.0,0.0
1.E-02,7.837229667E-07,-0.400062347,1.047165059E-08,-2.358388165E-03,7.057890317E-10,3.289088857E-06,2.235585903E-10,8.737202542E-06,6.888218328E-11,5.711677936E-06,1.963241977E-11,2.906661277E-06,8.47609938E-12,-8.75416007E-07,0.4,0.0,40000.0,0.0
1.1E-02,5.126996266E-07,-0.124461966,6.270799745E-09,-1.182054888E-02,8.344110475E-10,-9.846937188E-05,2.868236726E-10,-7.294359838E-06,9.170457244E-11,4.551816072E-06,2.801412861E-11,7.753771986E-06,9.959431725E-12,2.05442371E-07,0.43999999999999995,0.0,40000.0,0.0
