TIME, N1_UZ, N1_AZ, N7_UZ, N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03, 2.280156677E-12, 4.560200479E-06, -4.427325622E-20, -8.854432075E-14,0.01,0.0,45000.0,0.0
2.E-03, 4.401229144E-12, -4.877911767E-06, -3.451056493E-19, -4.245699755E-13,0.02,0.0,45000.0,0.0
3.E-03, 3.349821299E-12, -1.46781496E-06, 6.266296419E-18, 1.424866348E-11,0.03,0.0,45000.0,0.0
4.E-03, 1.779445162E-11, 3.245988684E-05, 1.254872372E-16, 2.109662759E-10,0.04,0.0,45000.0,0.0
5.E-03, 1.248478551E-10, 1.527555261E-04, 1.011428879E-15, 1.32245654E-09,0.05,0.0,45000.0,0.0
6.E-03, 3.977443834E-10, 1.789351441E-04, 4.715922884E-15, 4.314619853E-09,0.06,0.0,45000.0,0.0
7.E-03, 6.112129454E-10, -2.977829618E-04, 1.304945004E-14, 4.943532724E-09,0.07,0.0,45000.0,0.0
8.E-03, 3.683931331E-10, -6.148056936E-04, 1.525648035E-14, -1.719604742E-08,0.08,0.0,45000.0,0.0
9.E-03, 1.583883474E-09, 3.531327196E-03, -3.417986989E-14, -8.60900259E-08,0.09,0.0,45000.0,0.0
1.E-02, 1.216228991E-08, 1.519441578E-02, -2.016966677E-13, -1.50071665E-07,0.1,0.0,45000.0,0.0
1.1E-02, 3.538598707E-08, 1.009666798E-02, -4.55208532E-13, -2.192244372E-08,0.10999999999999999,0.0,45000.0,0.0
1.2E-02, 3.153630525E-08, -6.424220444E-02, -5.177665504E-13, 4.038266662E-07,0.12,0.0,45000.0,0.0
1.3E-02, -8.98619722E-08, -0.170855385, -1.028752341E-14, 7.362531354E-07,0.13,0.0,45000.0,0.0
1.4E-02, -3.460259459E-07, -9.868004218E-02, 1.012177588E-12, 2.937326186E-07,0.14,0.0,45000.0,0.0
1.5E-02, -5.282185399E-07, 0.246619996, 1.777836793E-12, -8.073414483E-07,0.15,0.0,45000.0,0.0
1.6E-02, -3.261621436E-07, 0.521882468, 1.451583579E-12, -1.37649948E-06,0.16,0.0,45000.0,0.0
