TIME, N1_UZ, N1_AZ, N7_UZ, N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03, 5.700391694E-12, 1.14005012E-05, -1.106831405E-19, -2.213608019E-13,0.025,0.0,45000.0,0.0
2.E-03, 1.100307286E-11, -1.219477942E-05, -8.627641233E-19, -1.061424939E-12,0.05,0.0,45000.0,0.0
3.E-03, 8.374553248E-12, -3.669537401E-06, 1.566574105E-17, 3.562165871E-11,0.075,0.0,45000.0,0.0
4.E-03, 4.448612905E-11, 8.11497171E-05, 3.13718093E-16, 5.274156897E-10,0.1,0.0,45000.0,0.0
5.E-03, 3.121196378E-10, 3.818888152E-04, 2.528572198E-15, 3.30614135E-09,0.125,0.0,45000.0,0.0
6.E-03, 9.943609584E-10, 4.473378603E-04, 1.178980721E-14, 1.078654963E-08,0.15,0.0,45000.0,0.0
7.E-03, 1.528032363E-09, -7.444574045E-04, 3.262362511E-14, 1.235883181E-08,0.17500000000000002,0.0,45000.0,0.0
8.E-03, 9.209828329E-10, -1.537014234E-03, 3.814120087E-14, -4.299011855E-08,0.2,0.0,45000.0,0.0
9.E-03, 3.941060387E-09, 8.791022319E-03, -8.544930189E-14, -2.152243191E-07,0.22499999999999998,0.0,45000.0,0.0
1.E-02, 3.036246009E-08, 3.801139556E-02, -5.042308449E-13, -3.751597511E-07,0.25,0.0,45000.0,0.0
1.1E-02, 8.842792254E-08, 2.527799031E-02, -1.137886971E-12, -5.4599359E-08,0.27499999999999997,0.0,45000.0,0.0
1.2E-02, 7.892951165E-08, -0.160402692, -1.293478001E-12, 1.010720865E-06,0.3,0.0,45000.0,0.0
1.3E-02, -2.242137037E-07, -0.426887902, -2.178340117E-14, 1.843864656E-06,0.325,0.0,45000.0,0.0
1.4E-02, -8.642321186E-07, -0.246872583, 2.539249791E-12, 7.348466226E-07,0.35000000000000003,0.0,45000.0,0.0
1.5E-02, -1.319582291E-06, 0.616202048, 4.443468633E-12, -2.0484673E-06,0.375,0.0,45000.0,0.0
1.6E-02, -8.12695481E-07, 1.30828303, 3.546939288E-12, -3.553068591E-06,0.4,0.0,45000.0,0.0
1.7E-02, 8.328993333E-07, 0.969147608, -1.843738648E-13, -2.116533088E-06,0.42500000000000004,0.0,45000.0,0.0
1.8E-02, 3.024025368E-06, 0.121913067, -4.7848281E-12, 3.782581181E-07,0.44999999999999996,0.0,45000.0,0.0
1.9E-02, 5.025186252E-06, -0.501847168, -7.96525266E-12, 2.461804359E-06,0.475,0.0,45000.0,0.0
2.E-02, 6.204270442E-06, -1.14230208, -7.525690882E-12, 4.778159489E-06,0.5,0.0,45000.0,0.0
2.1E-02, 5.949580354E-06, -1.72525195, -1.793252202E-12, 5.80763482E-06,0.525,0.0,45000.0,0.0
