TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-5.577513506E-11,-1.11547509E-04,9.857060365E-13,1.971363277E-06,1.537482006E-13,3.074887901E-07,2.321341972E-14,4.642569028E-08,1.983969959E-15,3.967841704E-09,2.868013311E-16,5.735884645E-10,2.479254218E-17,4.958385705E-11,0.04,0.0,42000.0,0.0
2.E-03,-2.886951862E-10,-2.427445431E-04,1.039519032E-11,1.487597042E-05,1.892158401E-12,2.861787055E-06,3.656208273E-13,5.91951058E-07,3.661463041E-14,6.132431404E-08,6.301307814E-15,1.08815948E-08,6.142514841E-16,1.079725874E-09,0.08,0.0,42000.0,0.0
3.E-03,-1.448806148E-10,9.961820503E-04,4.964657953E-11,4.480763637E-05,1.051496035E-11,1.090690773E-05,2.585278467E-12,3.162510286E-06,3.088917367E-13,4.139624696E-07,6.351192495E-14,9.150910847E-08,7.071246291E-15,1.065515695E-08,0.12,0.0,42000.0,0.0
4.E-03,3.418118368E-09,5.8421286E-03,1.498138766E-10,7.702432186E-05,3.54913841E-11,2.180035232E-05,1.081242049E-11,8.852419609E-06,1.576254738E-12,1.576195267E-06,3.872225766E-13,4.414857815E-07,5.006618832E-14,6.241987837E-08,0.16,0.0,42000.0,0.0
5.E-03,2.032474787E-08,2.084493805E-02,3.595549136E-10,1.421222045E-04,8.41717422E-11,2.560767565E-05,2.982059264E-11,1.270972412E-05,5.438531616E-12,3.613624598E-06,1.584445784E-12,1.305531682E-06,2.431741024E-13,2.378038479E-07,0.2,0.0,42000.0,0.0
6.E-03,8.160298593E-08,6.78976763E-02,8.354868504E-10,3.90255999E-04,1.57591761E-10,2.387162688E-05,5.819038925E-11,6.013704199E-06,1.35126935E-11,4.810173961E-06,4.563687029E-12,2.25850969E-06,8.55720011E-13,6.010696645E-07,0.24,0.0,42000.0,0.0
7.E-03,2.496445706E-07,0.145628848,1.962640839E-09,9.121848526E-04,2.574055908E-10,2.891584568E-05,8.803935897E-11,-3.055475107E-06,2.548795678E-11,2.992075471E-06,9.467135312E-12,1.589939331E-06,2.248269536E-12,9.589401302E-07,0.28,0.0,42000.0,0.0
8.E-03,5.50886297E-07,0.120774139,4.290383486E-09,1.488994294E-03,3.894740215E-10,3.559346221E-05,1.203620763E-10,8.002587026E-06,3.909317376E-11,2.678086288E-07,1.444360106E-11,-1.443880098E-06,4.495279457E-12,7.499921792E-07,0.32,0.0,42000.0,0.0
9.E-03,8.321130981E-07,-0.160800286,7.962138701E-09,1.199050502E-03,5.56055049E-10,3.343184624E-05,1.6906594E-10,2.475994024E-05,5.37510603E-11,1.837447056E-06,1.740991931E-11,-2.576485797E-06,6.990683406E-12,-2.531957531E-07,0.36,0.0,42000.0,0.0
1.E-02,8.22909115E-07,-0.420065464,1.099523312E-08,-2.476307573E-03,7.410784833E-10,3.4535433E-06,2.347365198E-10,9.174062669E-06,7.232629244E-11,5.997261833E-06,2.061404076E-11,3.051994341E-06,8.899904349E-12,-9.191868073E-07,0.4,0.0,42000.0,0.0
1.1E-02,5.383346079E-07,-0.130685065,6.584339732E-09,-1.241157633E-02,8.761315999E-10,-1.033928405E-04,3.011648563E-10,-7.659077829E-06,9.628980106E-11,4.779406876E-06,2.941483504E-11,8.141460585E-06,1.045740331E-11,2.157144895E-07,0.43999999999999995,0.0,42000.0,0.0
1.2E-02,3.549006974E-07,0.332971237,-1.737686335E-08,-2.668902547E-02,8.161052218E-10,-2.867655666E-04,3.699310167E-10,1.233433213E-05,1.219242495E-10,-1.437516946E-06,4.244611734E-11,3.197279306E-07,1.310982212E-11,1.97413756E-06,0.48,0.0,42000.0,0.0
1.3E-02,3.280813108E-07,-1.972686369E-02,-7.333037846E-08,-3.729570668E-02,3.352861131E-10,-5.548183693E-04,4.479068367E-10,6.08602237E-06,1.451155241E-10,-3.448944982E-06,5.084361183E-11,-9.587460188E-06,1.733205266E-11,1.165537331E-06,0.52,0.0,42000.0,0.0
1.4E-02,-1.167683546E-07,-0.816337728,-1.676563229E-07,-3.944925534E-02,-8.899265991E-10,-9.339675829E-04,5.179216448E-10,-2.200852013E-05,1.685349929E-10,3.905213571E-06,5.414806258E-11,-5.989414732E-07,2.123331888E-11,-1.8074628E-06,0.56,0.0,42000.0,0.0
1.5E-02,-1.370780189E-06,-0.802002728,-3.009106692E-07,-3.840752611E-02,-3.068147591E-09,-9.720586478E-04,5.868828521E-10,1.990005039E-05,2.003648951E-10,1.291572977E-05,6.240763003E-11,1.050943036E-05,2.320063259E-11,-2.060512652E-06,0.6,0.0,42000.0,0.0
1.6E-02,-3.106472423E-06,-0.161357776,-4.699412096E-07,-3.314498826E-02,-5.67014215E-09,1.244929068E-04,6.864869344E-10,4.13874479E-05,2.403320594E-10,3.359178872E-06,7.576297426E-11,-3.175842857E-07,2.513370419E-11,1.991990892E-06,0.64,0.0,42000.0,0.0
1.7E-02,-4.866707361E-06,0.112281162,-6.543355961E-07,2.41666978E-03,-6.908291518E-09,2.603181502E-03,8.068157476E-10,6.185501122E-08,2.746003438E-10,-1.475710369E-05,8.682356821E-11,-4.272373106E-06,3.035568585E-11,4.585902137E-06,0.68,0.0,42000.0,0.0
1.8E-02,-6.623365962E-06,-0.105124953,-7.959216907E-07,8.319940844E-02,-3.646509197E-09,6.396664991E-03,9.779180999E-10,1.014818456E-04,3.052683586E-10,7.55572579E-06,1.01530364E-10,1.15647347E-05,3.794821516E-11,1.552955723E-07,0.72,0.0,42000.0,0.0
1.9E-02,-8.6193289E-06,-0.373485924,-8.161537798E-07,0.159509209,8.55602938E-09,1.148483202E-02,1.339054398E-09,2.785874843E-04,3.593455074E-10,3.926313177E-05,1.231000296E-10,2.161670831E-06,4.267323882E-11,-5.890367298E-06,0.76,0.0,42000.0,0.0
2.E-02,-1.096683705E-05,-0.329610077,-6.686365816E-07,0.175990253,3.509605483E-08,1.719014164E-02,2.01315342E-09,3.473392339E-04,4.34828594E-10,3.549834564E-06,1.386538601E-10,-1.419382162E-05,4.424778537E-11,-4.108129596E-07,0.8,0.0,42000.0,0.0
2.1E-02,-1.358590216E-05,-0.213500158,-3.466447176E-07,0.172958693,8.089734678E-08,2.133243014E-02,3.104411159E-09,4.869752011E-04,5.050920794E-10,-1.399055588E-05,1.535542206E-10,1.288627776E-05,5.158292125E-11,1.193204332E-05,0.8400000000000001,0.0,42000.0,0.0
