TIME, N1_UZ, N1_AZ, N7_UZ, N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03, 8.107223742E-12, 1.621404615E-05, -1.574160221E-19, -3.148242515E-13,0.04,0.0,40000.0,0.0
2.E-03, 1.564881473E-11, -1.734368628E-05, -1.227042309E-18, -1.509582135E-12,0.08,0.0,40000.0,0.0
3.E-03, 1.191047573E-11, -5.218897637E-06, 2.228016505E-17, 5.066191461E-11,0.12,0.0,40000.0,0.0
4.E-03, 6.326916131E-11, 1.15412931E-04, 4.461768434E-16, 7.501023142E-10,0.16,0.0,40000.0,0.0
5.E-03, 4.439034849E-10, 5.431307595E-04, 3.596191571E-15, 4.702067698E-09,0.2,0.0,40000.0,0.0
6.E-03, 1.387680229E-09, 5.831711138E-04, 1.676825606E-14, 1.534193106E-08,0.24,0.0,40000.0,0.0
7.E-03, 2.111669581E-09, -1.022721852E-03, 4.641343929E-14, 1.760461256E-08,0.28,0.0,40000.0,0.0
8.E-03, 1.25715582E-09, -2.13432018E-03, 5.443635136E-14, -6.084745706E-08,0.32,0.0,40000.0,0.0
9.E-03, 5.757805808E-09, 1.28442845E-02, -1.201938479E-13, -3.044563418E-07,0.36,0.0,40000.0,0.0
1.E-02, 4.387122008E-08, 5.438094268E-02, -7.115466836E-13, -5.289917792E-07,0.4,0.0,40000.0,0.0
1.1E-02, 1.270381296E-07, 3.572783311E-02, -1.605993586E-12, -7.721030241E-08,0.43999999999999995,0.0,40000.0,0.0
1.2E-02, 1.136084962E-07, -0.22891658, -1.842511101E-12, 1.393057538E-06,0.48,0.0,40000.0,0.0
1.3E-02, -3.153790682E-07, -0.602200846, -1.529811693E-13, 2.459058674E-06,0.52,0.0,40000.0,0.0
1.4E-02, -1.210967296E-06, -0.331014901, 3.161439357E-12, 7.907693019E-07,0.56,0.0,40000.0,0.0
1.5E-02, -1.831350179E-06, 0.881416427, 5.420535885E-12, -2.901413064E-06,0.6,0.0,40000.0,0.0
1.6E-02, -1.142782605E-06, 1.73650231, 4.104648282E-12, -4.248617392E-06,0.64,0.0,40000.0,0.0
1.7E-02, 9.522168194E-07, 1.07638142, -1.251386162E-13, -1.579219656E-06,0.68,0.0,40000.0,0.0
1.8E-02, 3.589725516E-06, 8.627583501E-03, -4.498158805E-12, 1.292785756E-06,0.72,0.0,40000.0,0.0
1.9E-02, 6.105730228E-06, -0.251646187, -6.946696491E-12, 2.556187032E-06,0.76,0.0,40000.0,0.0
2.E-02, 8.184804629E-06, -0.622201282, -5.658464764E-12, 4.917316991E-06,0.8,0.0,40000.0,0.0
2.1E-02, 9.182126645E-06, -1.5413028, 1.285152801E-12, 6.393510703E-06,0.8400000000000001,0.0,40000.0,0.0
2.2E-02, 8.607790242E-06, -1.60203596, 1.204226219E-11, 1.23358229E-06,0.8799999999999999,0.0,40000.0,0.0
2.3E-02, 6.834264326E-06, -0.796343029, 2.016685085E-11, -6.498667254E-06,0.9199999999999999,0.0,40000.0,0.0
2.4E-02, 4.020352149E-06, -1.28439751, 2.172387565E-11, -6.636605783E-06,0.96,0.0,40000.0,0.0
2.5E-02, -1.245905193E-06, -3.62027844, 1.960163397E-11, -7.219345535E-07,1.0,0.0,40000.0,0.0
2.6E-02, -1.075633751E-05, -4.86811255, 1.778520479E-11, 1.333662292E-06,1.04,0.0,40000.0,0.0
2.7E-02, -2.402290268E-05, -2.64419886, 1.634881685E-11, -5.735824324E-07,1.08,0.0,40000.0,0.0
2.8E-02, -3.838842956E-05, 0.446298797, 1.5573741E-11, 1.896100843E-06,1.12,0.0,40000.0,0.0
2.9E-02, -5.20912427E-05, 0.879171564, 2.003462297E-11, 8.575814277E-06,1.1600000000000001,0.0,40000.0,0.0
3.E-02, -6.519712156E-05, 0.314679649, 3.348524678E-11, 9.403814756E-06,1.2,0.0,40000.0,0.0
3.1E-02, -7.739182966E-05, 1.50763536, 5.283961224E-11, 2.403719832E-06,1.24,0.0,40000.0,0.0
3.2E-02, -8.731285966E-05, 3.03973843, 7.244310901E-11, -1.905574088E-06,1.28,0.0,40000.0,0.0
3.3E-02, -9.410911338E-05, 3.2098306, 9.066477344E-11, -8.581086368E-07,1.32,0.0,40000.0,0.0
3.4E-02, -9.757836505E-05, 3.44415576, 1.06738134E-10, -3.438391713E-06,1.36,0.0,40000.0,0.0
3.5E-02, -9.671212487E-05, 5.22680702, 1.169736283E-10, -8.237390966E-06,1.4000000000000001,0.0,40000.0,0.0
3.6E-02, -8.980497533E-05, 6.85503603, 1.209081345E-10, -4.364750706E-06,1.44,0.0,40000.0,0.0
3.7E-02, -7.673953829E-05, 5.46158991, 1.258146728E-10, 6.308808534E-06,1.48,0.0,40000.0,0.0
3.8E-02, -5.962532396E-05, 2.6359502, 1.39597222E-10, 1.144335677E-05,1.52,0.0,40000.0,0.0
3.9E-02, -3.971086954E-05, 2.9644661, 1.629147625E-10, 7.626706826E-06,1.56,0.0,40000.0,0.0
4.E-02, -1.539248406E-05, 5.8433955, 1.920596905E-10, 4.027983209E-06,1.6,0.0,40000.0,0.0
4.1E-02, 1.510922618E-05, 6.52330897, 2.26580055E-10, 6.722817361E-06,1.6400000000000001,0.0,40000.0,0.0
4.2E-02, 5.10847467E-05, 4.42432651, 2.681597951E-10, 7.396054937E-06,1.6800000000000002,0.0,40000.0,0.0
4.3E-02, 9.084462069E-05, 3.14434554, 3.132840163E-10, -3.070042522E-07,1.7199999999999998,0.0,40000.0,0.0
4.4E-02, 1.342318316E-04, 4.110307, 3.549369862E-10, -6.635618916E-06,1.7599999999999998,0.0,40000.0,0.0
4.5E-02, 1.819982583E-04, 4.64815602, 3.907296495E-10, -5.085071088E-06,1.7999999999999998,0.0,40000.0,0.0
4.6E-02, 2.335768935E-04, 2.97628472, 4.22284895E-10, -3.389692928E-06,1.8399999999999999,0.0,40000.0,0.0
4.7E-02, 2.875337566E-04, 1.78013609, 4.49644253E-10, -5.00207038E-06,1.88,0.0,40000.0,0.0
4.8E-02, 3.437444721E-04, 2.72754995, 4.735773913E-10, -1.850498479E-06,1.92,0.0,40000.0,0.0
4.9E-02, 4.025761711E-04, 2.51446404, 5.016176525E-10, 1.00646544E-05,1.96,0.0,40000.0,0.0
5.E-02, 4.62412225E-04, -0.505730704, 5.446233756E-10, 1.986640978E-05,2.0,0.0,40000.0,0.0
5.1E-02, 5.206548548E-04, -2.68116158, 6.064950508E-10, 1.78656488E-05,2.04,0.0,40000.0,0.0
5.2E-02, 5.768342366E-04, -1.44537563, 6.837866714E-10, 1.297416244E-05,2.08,0.0,40000.0,0.0
5.3E-02, 6.324050778E-04, 0.228324143, 7.72772434E-10, 1.04141418E-05,2.12,0.0,40000.0,0.0
5.4E-02, 6.873227124E-04, -1.53468147, 8.658950744E-10, -2.140158707E-06,2.16,0.0,40000.0,0.0
5.5E-02, 7.389702667E-04, -5.00549164, 9.469197496E-10, -2.205581238E-05,2.2,0.0,40000.0,0.0
5.6E-02, 7.853660245E-04, -5.49816299, 1.002805902E-09, -2.822153374E-05,2.24,0.0,40000.0,0.0
5.7E-02, 8.271970819E-04, -3.63123565, 1.036520607E-09, -1.612151905E-05,2.2800000000000002,0.0,40000.0,0.0
5.8E-02, 8.653322374E-04, -3.76052072, 1.062863139E-09, 1.377195713E-06,2.3200000000000003,0.0,40000.0,0.0
5.9E-02, 8.98654661E-04, -5.864941, 1.098114564E-09, 1.644062819E-05,2.36,0.0,40000.0,0.0
6.E-02, 9.258562196E-04, -6.37683037, 1.156987995E-09, 3.080336194E-05,2.4,0.0,40000.0,0.0
6.1E-02, 9.472938171E-04, -5.1510941, 1.25198023E-09, 4.143436008E-05,2.44,0.0,40000.0,0.0
6.2E-02, 9.633342853E-04, -5.64311995, 1.383855995E-09, 3.233307801E-05,2.48,0.0,40000.0,0.0
6.3E-02, 9.723296185E-04, -8.44713642, 1.533588563E-09, 3.380649366E-06,2.52,0.0,40000.0,0.0
