TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-6.108705268E-11,-1.221710813E-04,1.079582802E-12,2.15911216E-06,1.683908864E-13,3.367734368E-07,2.542422159E-14,5.08471846E-08,2.172919479E-15,4.345731391E-09,3.141157436E-16,6.282159374E-10,2.715373668E-17,5.430612915E-11,0.04,0.0,46000.0,0.0
2.E-03,-3.161899658E-10,-2.658630711E-04,1.138520844E-11,1.62927295E-05,2.072363963E-12,3.134338204E-06,4.004418585E-13,6.483273492E-07,4.010173806E-14,6.71647249E-08,6.901432368E-15,1.191793717E-08,6.727516255E-16,1.18255691E-09,0.08,0.0,46000.0,0.0
3.E-03,-1.586787686E-10,1.091056531E-03,5.43748252E-11,4.907503031E-05,1.151638515E-11,1.194566085E-05,2.831495463E-12,3.463701742E-06,3.383099973E-13,4.533874667E-07,6.956067971E-14,1.002242617E-07,7.744698319E-15,1.16699338E-08,0.12,0.0,46000.0,0.0
4.E-03,3.743653451E-09,6.3985218E-03,1.640818649E-10,8.435997156E-05,3.887151592E-11,2.387657635E-05,1.184217482E-11,9.695507191E-06,1.726374236E-12,1.726309102E-06,4.241009172E-13,4.835320464E-07,5.483439673E-14,6.836462869E-08,0.16,0.0,46000.0,0.0
5.E-03,2.226043814E-08,2.283017024E-02,3.937982387E-10,1.556576525E-04,9.218809859E-11,2.80465019E-05,3.266064909E-11,1.392017404E-05,5.956487008E-12,3.957779322E-06,1.735345382E-12,1.429868032E-06,2.663335407E-13,2.604518334E-07,0.2,0.0,46000.0,0.0
6.E-03,8.937469887E-08,7.436412166E-02,9.150570266E-10,4.27423237E-04,1.726005002E-10,2.614511516E-05,6.373233109E-11,6.586437932E-06,1.479961669E-11,5.268285767E-06,4.998323889E-12,2.473605851E-06,9.372171549E-13,6.583143945E-07,0.24,0.0,46000.0,0.0
7.E-03,2.73420244E-07,0.159498263,2.149559014E-09,9.990596005E-04,2.819204089E-10,3.166973575E-05,9.642405982E-11,-3.346472736E-06,2.791538124E-11,3.277035039E-06,1.036876725E-11,1.741362124E-06,2.462390445E-12,1.050267762E-06,0.28,0.0,46000.0,0.0
8.E-03,6.033516586E-07,0.132276438,4.698991437E-09,1.630803274E-03,4.265667854E-10,3.898331575E-05,1.318251312E-10,8.764738171E-06,4.281633316E-11,2.933142125E-07,1.581918212E-11,-1.581392488E-06,4.92340131E-12,8.214200058E-07,0.32,0.0,46000.0,0.0
9.E-03,9.113619646E-07,-0.176114599,8.720437625E-09,1.313245787E-03,6.090126727E-10,3.66158316E-05,1.851674581E-10,2.711802979E-05,5.88702089E-11,2.012442013E-06,1.906800686E-11,-2.821865396E-06,7.656462778E-12,-2.773096344E-07,0.36,0.0,46000.0,0.0
1.E-02,9.012814117E-07,-0.460071699,1.204239818E-08,-2.71214639E-03,8.116573865E-10,3.782452185E-06,2.570923789E-10,1.004778292E-05,7.921451077E-11,6.568429627E-06,2.257728274E-11,3.342660469E-06,9.747514287E-12,-1.006728408E-06,0.4,0.0,46000.0,0.0
