TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-5.843109387E-11,-1.168592952E-04,1.032644419E-12,2.065237719E-06,1.610695435E-13,3.221311135E-07,2.431882066E-14,4.863643744E-08,2.078444719E-15,4.156786548E-09,3.004585374E-16,6.00902201E-10,2.597313943E-17,5.19449931E-11,0.04,0.0,44000.0,0.0
2.E-03,-3.02442576E-10,-2.543038071E-04,1.089019938E-11,1.558434996E-05,1.982261182E-12,2.99806263E-06,3.830313429E-13,6.201392036E-07,3.835818423E-14,6.424451947E-08,6.601370091E-15,1.139976599E-08,6.435015548E-16,1.131141392E-09,0.08,0.0,44000.0,0.0
3.E-03,-1.517796917E-10,1.043619291E-03,5.201070236E-11,4.694133334E-05,1.101567275E-11,1.142628429E-05,2.708386965E-12,3.313106014E-06,3.23600867E-13,4.336749682E-07,6.653630233E-14,9.586668506E-08,7.407972305E-15,1.116254538E-08,0.12,0.0,44000.0,0.0
4.E-03,3.580885909E-09,6.1203252E-03,1.569478707E-10,8.069214671E-05,3.718145001E-11,2.283846433E-05,1.132729765E-11,9.2739634E-06,1.651314487E-12,1.651252185E-06,4.056617469E-13,4.625089139E-07,5.245029253E-14,6.539225353E-08,0.16,0.0,44000.0,0.0
5.E-03,2.1292593E-08,2.183755414E-02,3.766765762E-10,1.488899285E-04,8.817992039E-11,2.682708877E-05,3.124062086E-11,1.331494908E-05,5.697509312E-12,3.78570196E-06,1.659895583E-12,1.367699857E-06,2.547538215E-13,2.491278407E-07,0.2,0.0,44000.0,0.0
6.E-03,8.54888424E-08,7.113089898E-02,8.752719385E-10,4.08839618E-04,1.650961306E-10,2.500837102E-05,6.096136017E-11,6.300071066E-06,1.41561551E-11,5.039229864E-06,4.781005459E-12,2.36605777E-06,8.964685829E-13,6.296920295E-07,0.24,0.0,44000.0,0.0
7.E-03,2.615324073E-07,0.152563556,2.056099927E-09,9.556222266E-04,2.696629998E-10,3.029279072E-05,9.22317094E-11,-3.200973921E-06,2.670166901E-11,3.134555255E-06,9.917951279E-12,1.665650727E-06,2.35532999E-12,1.004603946E-06,0.28,0.0,44000.0,0.0
8.E-03,5.771189778E-07,0.126525289,4.494687462E-09,1.559898784E-03,4.080204035E-10,3.728838898E-05,1.260936038E-10,8.383662599E-06,4.095475346E-11,2.805614207E-07,1.513139159E-11,-1.512636293E-06,4.709340383E-12,7.857060925E-07,0.32,0.0,44000.0,0.0
9.E-03,8.717375313E-07,-0.168457443,8.341288163E-09,1.256148145E-03,5.825338608E-10,3.502383892E-05,1.77116699E-10,2.593898502E-05,5.63106346E-11,1.924944534E-06,1.823896308E-11,-2.699175597E-06,7.323573092E-12,-2.652526938E-07,0.36,0.0,44000.0,0.0
1.E-02,8.620952634E-07,-0.440068582,1.151881565E-08,-2.594226981E-03,7.763679349E-10,3.617997743E-06,2.459144494E-10,9.610922797E-06,7.577040161E-11,6.28284573E-06,2.159566175E-11,3.197327405E-06,9.323709318E-12,-9.629576077E-07,0.4,0.0,44000.0,0.0
1.1E-02,5.639695892E-07,-0.136908163,6.897879719E-09,-1.300260377E-02,9.178521523E-10,-1.083163091E-04,3.155060399E-10,-8.023795821E-06,1.008750297E-10,5.006997679E-06,3.081554147E-11,8.529149184E-06,1.09553749E-11,2.259866081E-07,0.43999999999999995,0.0,44000.0,0.0
1.2E-02,3.718007307E-07,0.348827011,-1.820433303E-08,-2.795993145E-02,8.549673752E-10,-3.004210697E-04,3.875467794E-10,1.292168128E-05,1.277301661E-10,-1.505970134E-06,4.446736102E-11,3.349530701E-07,1.373409936E-11,2.06814411E-06,0.48,0.0,44000.0,0.0
1.3E-02,3.437042303E-07,-2.066623815E-02,-7.682230124E-08,-3.907169272E-02,3.512521185E-10,-5.812382917E-04,4.692357336E-10,6.375832959E-06,1.520257871E-10,-3.613180457E-06,5.32647362E-11,-1.004400591E-05,1.81573885E-11,1.221039109E-06,0.52,0.0,44000.0,0.0
1.4E-02,-1.223287524E-07,-0.855210954,-1.756399574E-07,-4.132779131E-02,-9.323040562E-10,-9.784422297E-04,5.425845803E-10,-2.305654489E-05,1.765604687E-10,4.091176122E-06,5.672654175E-11,-6.274624957E-07,2.22444293E-11,-1.893532458E-06,0.56,0.0,44000.0,0.0
1.5E-02,-1.436055436E-06,-0.840193334,-3.152397487E-07,-4.023645592E-02,-3.214249857E-09,-1.018347155E-03,6.148296546E-10,2.084767184E-05,2.099060806E-10,1.353076452E-05,6.537942194E-11,1.100987943E-05,2.430542462E-11,-2.158632302E-06,0.6,0.0,44000.0,0.0
