TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-6.37430115E-11,-1.274828675E-04,1.126521185E-12,2.252986602E-06,1.757122293E-13,3.514157601E-07,2.652962253E-14,5.305793175E-08,2.267394239E-15,4.534676234E-09,3.277729499E-16,6.555296738E-10,2.833433393E-17,5.66672652E-11,0.04,0.0,48000.0,0.0
2.E-03,-3.299373557E-10,-2.77422335E-04,1.188021751E-11,1.700110905E-05,2.162466744E-12,3.270613778E-06,4.178523741E-13,6.765154948E-07,4.184529189E-14,7.008493033E-08,7.201494645E-15,1.243610835E-08,7.020016961E-16,1.233972428E-09,0.08,0.0,48000.0,0.0
3.E-03,-1.655778455E-10,1.138493772E-03,5.673894803E-11,5.120872728E-05,1.201709754E-11,1.246503741E-05,2.954603962E-12,3.61429747E-06,3.530191276E-13,4.730999653E-07,7.258505709E-14,1.045818382E-07,8.081424332E-15,1.217732223E-08,0.12,0.0,48000.0,0.0
4.E-03,3.906420992E-09,6.6767184E-03,1.71215859E-10,8.802779641E-05,4.056158183E-11,2.491468836E-05,1.235705199E-11,1.011705098E-05,1.801433986E-12,1.80136602E-06,4.425400875E-13,5.045551788E-07,5.721850094E-14,7.133700386E-08,0.16,0.0,48000.0,0.0
5.E-03,2.322828328E-08,2.382278634E-02,4.109199013E-10,1.624253765E-04,9.619627679E-11,2.926591503E-05,3.408067731E-11,1.4525399E-05,6.215464704E-12,4.129856684E-06,1.810795182E-12,1.492036208E-06,2.779132599E-13,2.717758262E-07,0.2,0.0,48000.0,0.0
6.E-03,9.326055534E-08,7.759734434E-02,9.548421147E-10,4.46006856E-04,1.801048697E-10,2.72818593E-05,6.6503302E-11,6.872804799E-06,1.544307829E-11,5.49734167E-06,5.215642319E-12,2.581153931E-06,9.779657268E-13,6.869367595E-07,0.24,0.0,48000.0,0.0
7.E-03,2.853080807E-07,0.16643297,2.243018102E-09,1.042496974E-03,2.94177818E-10,3.304668078E-05,1.006164103E-10,-3.49197155E-06,2.912909347E-11,3.419514824E-06,1.081958321E-11,1.817073521E-06,2.569450899E-12,1.095931577E-06,0.28,0.0,48000.0,0.0
8.E-03,6.295843394E-07,0.138027588,4.903295413E-09,1.701707765E-03,4.451131674E-10,4.067824252E-05,1.375566587E-10,9.145813744E-06,4.467791286E-11,3.060670044E-07,1.650697265E-11,-1.650148684E-06,5.137462236E-12,8.571339191E-07,0.32,0.0,48000.0,0.0
9.E-03,9.509863978E-07,-0.183771756,9.099587087E-09,1.37034343E-03,6.354914845E-10,3.820782428E-05,1.932182171E-10,2.829707456E-05,6.14297832E-11,2.099939492E-06,1.989705063E-11,-2.944555196E-06,7.989352464E-12,-2.89366575E-07,0.36,0.0,48000.0,0.0
1.E-02,9.4046756E-07,-0.480074816,1.25659807E-08,-2.830065798E-03,8.46946838E-10,3.946906628E-06,2.682703084E-10,1.048464305E-05,8.265861994E-11,6.854013524E-06,2.355890373E-11,3.487993533E-06,1.017131926E-11,-1.050499208E-06,0.4,0.0,48000.0,0.0
1.1E-02,6.152395519E-07,-0.14935436,7.524959693E-09,-1.418465866E-02,1.001293257E-09,-1.181632463E-04,3.441884072E-10,-8.753231805E-06,1.100454869E-10,5.462179287E-06,3.361695433E-11,9.304526383E-06,1.195131807E-11,2.465308452E-07,0.43999999999999995,0.0,48000.0,0.0
1.2E-02,4.056007971E-07,0.380538557,-1.98592724E-08,-3.05017434E-02,9.32691682E-10,-3.277320761E-04,4.227783048E-10,1.409637958E-05,1.393419994E-10,-1.64287651E-06,4.850984839E-11,3.654033492E-07,1.498265385E-11,2.256157211E-06,0.48,0.0,48000.0,0.0
1.3E-02,3.749500695E-07,-2.254498708E-02,-8.380614681E-08,-4.262366478E-02,3.831841293E-10,-6.340781364E-04,5.118935276E-10,6.955454137E-06,1.658463132E-10,-3.941651408E-06,5.810698495E-11,-1.095709736E-05,1.980806018E-11,1.332042664E-06,0.52,0.0,48000.0,0.0
1.4E-02,-1.334495481E-07,-0.932957404,-1.916072262E-07,-4.508486325E-02,-1.01705897E-09,-1.067391523E-03,5.919104512E-10,-2.515259443E-05,1.926114204E-10,4.463101223E-06,6.188350009E-11,-6.845045408E-07,2.426665015E-11,-2.065671772E-06,0.56,0.0,48000.0,0.0
1.5E-02,-1.56660593E-06,-0.916574546,-3.438979077E-07,-4.389431555E-02,-3.506454389E-09,-1.110924169E-03,6.707232596E-10,2.274291474E-05,2.289884515E-10,1.476083403E-05,7.132300575E-11,1.201077756E-05,2.651500867E-11,-2.354871602E-06,0.6,0.0,48000.0,0.0
1.6E-02,-3.550254198E-06,-0.184408886,-5.370756681E-07,-3.787998658E-02,-6.480162458E-09,1.422776078E-04,7.845564965E-10,4.729994046E-05,2.746652107E-10,3.839061568E-06,8.65862563E-11,-3.629534694E-07,2.872423336E-11,2.276561019E-06,0.64,0.0,48000.0,0.0
1.7E-02,-5.56195127E-06,0.128321328,-7.478121098E-07,2.76190832E-03,-7.895190307E-09,2.975064574E-03,9.220751401E-10,7.069144139E-08,3.138289643E-10,-1.686526136E-05,9.92269351E-11,-4.882712121E-06,3.46922124E-11,5.241031013E-06,0.68,0.0,48000.0,0.0
1.8E-02,-7.5695611E-06,-0.120142804,-9.096247894E-07,9.508503822E-02,-4.167439082E-09,7.310474276E-03,1.117620686E-09,1.159792521E-04,3.488781242E-10,8.635115189E-06,1.160347017E-10,1.321683965E-05,4.336938876E-11,1.774806541E-07,0.72,0.0,48000.0,0.0
1.9E-02,-9.8506616E-06,-0.426841056,-9.327471769E-07,0.182296239,9.778319291E-09,1.312552231E-02,1.530347884E-09,3.183856963E-04,4.106805799E-10,4.487215059E-05,1.406857481E-10,2.470480949E-06,4.876941579E-11,-6.731848341E-06,0.76,0.0,48000.0,0.0
2.E-02,-1.253352806E-05,-0.376697231,-7.641560933E-07,0.201131717,4.010977695E-08,1.964587615E-02,2.300746765E-09,3.969591245E-04,4.969469646E-10,4.056953787E-06,1.584615544E-10,-1.622151042E-05,5.056889757E-11,-4.695005252E-07,0.8,0.0,48000.0,0.0
